序	分類	書名	作者	2010/Q4	2011/Q1	2011/Q2	2011/Q3	2011/Q4	2012/Q1	2012/Q2	2012/Q3	2012/Q4	2013/Q1	2013/Q2	2013/Q3	2013/Q4	2014/Q1	2014/Q2	2014/Q3	2014/Q4	2015/Q1	2015/Q2	2015/Q3	2015/Q4	2016/Q1	2016/Q2	2016/Q3	2016/Q4	2017/Q1	2017/Q2	2017/Q3	2017/Q4	2018/Q1	2018/Q2	2018/Q3	2018/Q4	2019/Q1	2019/Q2	2019/Q3	2019/Q4	2020/Q1	2020/Q2	2020/Q3	2020/Q4
1	文學小說	挪威的森林	村上春樹	4592	7428	850	573																																					
2	文學小說	那些年，我們一起追的女孩	九把刀			696	16964	3894																																				
3	其他	愛德華的神奇旅行	凱特．狄卡密歐													22	8438	4996	2696																									
4	文學小說	少年Pi的奇幻漂流	楊．馬泰爾								581	10687	5364																															
5	文學小說	告白	湊佳苗	19273	9436	1877																																						
6	其他	靈界的譯者	索非亞（劉柏君）																										156	6187	184													
7	文學小說	等一個人咖啡	九把刀															430	4771	724																								
8	商業理財	跟誰都能聊不停	金井英之	8551	2222																																							
9	商業理財	黑心建商的告白	Sway	15457	6560																																							
10	生活旅遊	享受吧！一個人的旅行	伊莉莎白．吉兒伯特	19179	2554																																							
11	商業理財	民國100年大泡沫	王伯達	8692	3451																																							
12	其他	女中醫才知道的青春祕方	謝曉雲等	10494	1462																																							
13	其他	會念書的狠角色才能生存	李時炯	12366	2265																																							
14	文學小說	這些人，那些事	吳念真	17182	7647	2107																																						
15	文學小說	不馴（夜之屋4）	菲莉絲．卡司特、克麗絲婷．卡司特	8010	1153																																							
16	其他	女生這樣做，吃不胖、曬不黑、人不老	張家蓓	839	7808	2286																																						
17	商業理財	Google時代一定要會的整理術	梅瑞爾、馬丁	4280	12706	1304																																						
18	商業理財	月薪兩萬二也要存到錢！	橫山光昭	6759	9274	1867																																						
19	生活旅遊	不只是旅行	黃國華	13908	1006																																							
20	其他	算病	樓中亮	928	12640	2068																																						
21	商業理財	黑心投資客炒房告白	Sway	2125	8784	3393																																						
22	文學小說	飢餓遊戲三部曲	蘇珊．柯林斯						5717	7826	1639																																	
23	商業理財	楚狂人投資致富SOP	楚狂人	0	8249	1872																																						
24	生活旅遊	女醫師教你真正愉悅的性愛	宋美玄		6778	13209	6405	5939																																				
25	其他	瘦肚子的骨盆瑜伽	蔡佩茹		3857	9311	1766																																					
26	其他	正義：一場思辨之旅	邁可．桑德爾	0	9206	11918	7541	5478																																				
