序	店內碼	分類	書名	作者		2010/Q4	2011/Q1	2011/Q2	2011/Q3	2011/Q4	2012/Q1	2012/Q2	2012/Q3	2012/Q4	2013/Q1	2013/Q2	2013/Q3	2013/Q4	2014/Q1	2014/Q2	2014/Q3	2014/Q4	2015/Q1	2015/Q2	2015/Q3	2015/Q4	2016/Q1	2016/Q2	2016/Q3	2016/Q4	2017/Q1	2017/Q2	2017/Q3	2017/Q4	2018/Q1	2018/Q2	2018/Q3	2018/Q4	2019/Q1	2019/Q2	2019/Q3	2019/Q4	2020/Q1	2020/Q2	2020/Q3
1	0010240507	文學小說	挪威的森林	村上春樹	13443	4592	7428	850	573																																				
2	0010333343	文學小說	那些年，我們一起追的女孩	九把刀	21554			696	16964	3894																																			
3	0010349202	其他	愛德華的神奇旅行	凱特．狄卡密歐	16152													22	8438	4996	2696																								
4	0010411943	文學小說	少年Pi的奇幻漂流	楊．馬泰爾	16632								581	10687	5364																														
5	0010445221	文學小說	告白	湊佳苗	30586	19273	9436	1877																																					
6	0010446893	其他	靈界的譯者	索非亞（劉柏君）	6527																										156	6187	184												
7	0010458828	文學小說	等一個人咖啡	九把刀	5925															430	4771	724																							
8	0010469463	商業理財	跟誰都能聊不停	金井英之	10773	8551	2222																																						
9	0010474252	商業理財	黑心建商的告白	Sway	22017	15457	6560																																						
10	0010479456	生活旅遊	享受吧！一個人的旅行	伊莉莎白．吉兒伯特	21733	19179	2554																																						
11	0010481046	商業理財	民國100年大泡沫	王伯達	12143	8692	3451																																						
12	0010482051	其他	女中醫才知道的青春祕方	謝曉雲等	11956	10494	1462																																						
13	0010484262	其他	會念書的狠角色才能生存	李時炯	14631	12366	2265																																						
14	0010484269	文學小說	這些人，那些事	吳念真	26936	17182	7647	2107																																					
15	0010486613	文學小說	不馴（夜之屋4）	卡司特母女	9163	8010	1153																																						
16	0010487826	其他	女生這樣做，吃不胖、曬不黑、人不老	張家蓓	10933	839	7808	2286																																					
17	0010488192	商業理財	Google時代一定要會的整理術	梅瑞爾等	18290	4280	12706	1304																																					
18	0010488509	商業理財	月薪兩萬二也要存到錢！	橫山光昭	17900	6759	9274	1867																																					
19	0010489508	生活旅遊	不只是旅行	黃國華	14914	13908	1006																																						
20	0010490651	其他	算病	樓中亮	15636	928	12640	2068																																					
21	0010491791	商業理財	黑心投資客炒房告白	Sway	14302	2125	8784	3393																																					
22	0010492006	文學小說	飢餓遊戲三部曲	蘇珊．柯林斯	15182						5717	7826	1639																																
23	0010494238	商業理財	楚狂人投資致富SOP	楚狂人	10121	0	8249	1872																																					
24	0010496858	生活旅遊	女醫師教你真正愉悅的性愛	宋美玄	32331		6778	13209	6405	5939																																			
25	0010497269	其他	瘦肚子的骨盆瑜伽	蔡佩茹	14934		3857	9311	1766																																				
26	0010497671	其他	正義：一場思辨之旅	邁可．桑德爾	34143	0	9206	11918	7541	5478																																			
27	0010498164	商業理財	下班後的黃金8小時	羅伯．帕格利瑞尼	13924		3320	8172	2432																																				
28	0010499877	心理勵志	The Power力量	朗達．拜恩	18664		3699	12135	2830																																				
29	0010500401	其他	虎媽的戰歌	蔡美兒	10778		1552	7114	2112																																				
30	0010501347	文學小說	哪啊哪啊 ~ 神去村	三浦紫苑	10582		94	7671	2817																																				
31	0010502793	其他	57健康同學會	東森財經新聞台等	11314		0	7298	4016																																				
32	0010502986	生活旅遊	塑身女皇教你打造完美曲線	鄭多蓮	26690		0	7559	4689			5000	7545	1897																															
33	0010503804	其他	教育應該不一樣	嚴長壽	17219		0	12188	5031																																				
34	0010509001	文學小說	罪行	費迪南．馮．席拉赫	20749			1074	11347	8328																																			
35	0010509929	心理勵志	非常關係	鄧惠文	12229			680	8824	2725																																			
36	0010510261	生活旅遊	養瘦：Jolin能吃能睡又能瘦的健美飲食調養法	蔡依林	17071			897	15120	1054																																			
37	0010510336	生活旅遊	一生一定要帶朋友去的100個私房景點	肉魯、鄭兆翔	8015			0	6438	1577																																			
38	0010511556	文學小說	別相信任何人	S. J. 華森	44880			0	10134	17705	12418	4623																																	
39	0010512481	文學小說	推理要在晚餐後	東川篤哉	13335			0	6751	6584																																			
40	0010515251	商業理財	主力作手不願告訴你的操作祕訣	楚狂人	8621			0	6444	2177																																			
41	0010516523	心理勵志	斷捨離	山下英子	27602				1436	11369	4624			3078	6138	957																													
42	0010518407	商業理財	華頓商學院最受歡迎的談判課	史都華．戴蒙	45657				2190	23396	10340	6405	3326																																
43	0010520901	生活旅遊	台灣1日小旅行	蘋果日報副刊中心	12142					2796	8567	779																																	
44	0010521267	商業理財	黑心房仲的告白	Sway	15890				0	9965	5925																																		
45	0010521691	商業理財	賈伯斯傳（限量硬殼精裝版）	華特．艾薩克森	42209				0	42209	0																																		
46	0010521950	心理勵志	怦然心動的人生整理魔法	近藤麻理惠	30414				0	9081	9560	8325	3448																																
47	0010522255	商業理財	賈伯斯傳（軟皮精裝版）	華特．艾薩克森	33277				0	29938	3339																																		
48	0010522288	其他	深夜食堂 1	安倍夜郎	18787				0	8702	7921	2164																																	
49	0010522519	其他	洋蔥炒蛋到小英便當	蔡英文	14900				0	13582	1318																																		
50	0010523662	其他	吾命騎士（卷8）終結魔王(下卷)	御我	10384				0	9126	1258																																		
51	0010525441	其他	食在有健康	潘懷宗、詹姆士	16179					1855	10308	4016																																	
52	0010528518	商業理財	只剩一個角落的繁華	陳文茜	14237					1002	10176	3059																																	
53	0010528711	其他	深夜食堂 4	安倍夜郎	9492					1916	7576																																		
54	0010529902	其他	真原醫	楊定一	29784					0	7323	11517	6687	4257																															
55	0010534548	生活旅遊	90%的肚子一定瘦	長(土反)靖子	15355						5598	8202	1555																																
56	0010535616	其他	深夜食堂 5	安倍夜郎	9581					0	6437	3144																																	
57	0010536061	生活旅遊	日本人妻邊惠玉教你做家庭幸福料理154道	邊惠玉	8176						1449	5456	1271																																
58	0010537927	商業理財	6個問題，竟能說服各種人	麥可．潘德隆	12242						1107	6202	4933																																
59	0010538679	其他	深夜食堂 6	安倍夜郎	10306						2404	5526	2376																																
60	0010541500	生活旅遊	塑身女皇完美曲線伸展操	鄭多蓮	16808						0	10979	5829																																
61	0010541859	其他	身體調校聖經	提摩西．費里斯	14985						0	7480	6151	1354																															
62	0010546135	生活旅遊	7天瘦肚子的神奇蔬果汁	藤井香江	16904						0	1974	10814	2375	1741																														
63	0010546927	其他	要瘦就瘦，要健康就健康	賴宇凡	21068																	1944	7440	7340	4344																				
64	0010548551	文學小說	有些事，這些年我才懂	小野	11635							530	7243	3862																															
65	0010550821	其他	深夜食堂 8	安倍夜郎	9612							0	8013	1599																															
66	0010553393	商業理財	你要如何衡量你的人生？	克雷頓．克里斯汀生等	12658							0	7319	5339																															
